cs_chr	cs_start	cs_end	SY_Mattis_tgt_chr	SY_Mattis_tgt_start	SY_Mattis_tgt_end	n_anchors	mean_identity
Chr2B	4884794	8387855	Chr2B	1939824	5533220	41	0.980560975609756
Chr2B	15881998	30160006	Chr2B	11911951	26743466	214	0.990467289719626
Chr2B	349919582	361286666	Chr2B	357735048	369029943	52	0.9993461538461539
Chr2B	361424474	368976754	Chr2B	374986407	382481322	23	0.9997391304347826
Chr2B	375133991	379787029	Chr2B	257071635	261703206	15	0.9998666666666668
Chr2B	10698	3310124	Chr2B	25396	7681658	37	0.9883783783783782
Chr2B	6426412	15462989	Chr2B	4049285	12568451	80	0.9845875
Chr2B	28768946	127146122	Chr2B	26414378	131953807	829	0.9918974668275029
Chr2B	129392470	202920401	Chr2B	134090542	206104575	544	0.9932941176470588
Chr2B	205644786	240314058	Chr2B	206202390	240915915	203	0.9959901477832512
Chr2B	242536523	270216010	Chr2B	243374715	276028317	127	0.9967716535433071
Chr2B	272550652	303097333	Chr2B	278353604	308846232	44	0.9997500000000001
Chr2B	305321036	318205778	Chr2B	311041728	323999325	16	0.9999375
Chr2B	320343927	333044217	Chr2B	326134857	338777034	21	0.999904761904762
Chr2B	335510269	342279112	Chr2B	341230975	347877570	8	1.0
Chr2B	369487668	374802272	Chr2B	369202428	374480901	30	0.9986333333333334
Chr2B	379832912	793530997	Chr2B	382653156	790035751	3003	0.9937209457209458
Chr2B	795985436	801220480	Chr2B	790319069	797368544	31	0.9489032258064516
