gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS4D03G0000100	Chr4D	409970	411319	-	410644	Chr4D	65463	66812	-	66137	1.0	1.0	collinear
gene:TraesCS4D03G0000200	Chr4D	459723	463379	+	461551	Chr4D	115109	118765	+	116937	1.0	1.0	collinear
gene:TraesCS4D03G0000300	Chr4D	463559	465496	-	464527	Chr4D	118945	120882	-	119913	1.0	1.0	collinear
gene:TraesCS4D03G0000500	Chr4D	465900	467545	-	466722	Chr4D	121286	122931	-	122108	1.0	1.0	collinear
gene:TraesCS4D03G0000700	Chr4D	475371	480193	+	477782	Chr4D	130769	135229	+	132999	1.0	1.0	collinear
gene:TraesCS4D03G0000800	Chr4D	536039	548069	+	542054	Chr4D	190882	202912	+	196897	1.0	1.0	collinear
gene:TraesCS4D03G0000900	Chr4D	603219	607023	-	605121	Chr4D	257761	261565	-	259663	1.0	1.0	collinear
gene:TraesCS4D03G0001000	Chr4D	607335	608738	+	608036	Chr4D	261877	263280	+	262578	1.0	1.0	collinear
gene:TraesCS4D03G0001200	Chr4D	610012	615059	-	612535	Chr4D	264554	269601	-	267077	1.0	1.0	collinear
gene:TraesCS4D03G0001300	Chr4D	624082	627372	+	625727	Chr4D	278214	281504	+	279859	1.0	0.999	collinear
gene:TraesCS4D03G0001400	Chr4D	658413	659236	+	658824	Chr4D	311532	312355	+	311943	1.0	1.0	collinear
gene:TraesCS4D03G0001700	Chr4D	734129	734515	+	734322	Chr4D	385743	386129	+	385936	1.0	1.0	collinear
gene:TraesCS4D03G0001800	Chr4D	757227	759482	-	758354	Chr4D	407458	409713	-	408585	1.0	1.0	collinear
gene:TraesCS4D03G0002200	Chr4D	1179628	1183031	+	1181329	Chr4D	828555	831958	+	830256	1.0	1.0	collinear
gene:TraesCS4D03G0002300	Chr4D	1192267	1194439	+	1193353	Chr4D	841187	843359	+	842273	1.0	1.0	collinear
gene:TraesCS4D03G0002500	Chr4D	1196998	1198699	-	1197848	Chr4D	845918	847619	-	846768	1.0	1.0	collinear
gene:TraesCS4D03G0002600	Chr4D	1200365	1201407	+	1200886	Chr4D	849285	850327	+	849806	1.0	1.0	collinear
gene:TraesCS4D03G0002700	Chr4D	1224901	1226574	+	1225737	Chr4D	873529	875202	+	874365	1.0	1.0	collinear
gene:TraesCS4D03G0002800	Chr4D	1233656	1234699	+	1234177	Chr4D	882562	883605	+	883083	1.0	1.0	collinear
gene:TraesCS4D03G0002900	Chr4D	1235849	1238078	+	1236963	Chr4D	884755	886984	+	885869	1.0	1.0	collinear
gene:TraesCS4D03G0003000	Chr4D	1239892	1242834	+	1241363	Chr4D	888798	891741	+	890269	1.0	1.0	collinear
