cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr6D	46902857	49450861	Chr6D	82587133	85131109	31	0.9974516129032258
Chr6D	43783	966917	Chr6D	4872671	5811721	18	0.9998888888888889
Chr6D	26351226	46873994	Chr6D	34733975	77198360	255	0.9994352941176471
Chr6D	50179900	164765103	Chr6D	77841519	195689036	879	0.9990204778156997
Chr6D	166779487	214550301	Chr6D	197671604	244441710	75	0.9988933333333333
Chr6D	216846232	227401287	Chr6D	246905775	257407399	15	0.9988666666666667
Chr6D	232122220	239805311	Chr6D	262101590	269741488	12	0.9940833333333333
Chr6D	242219199	280904417	Chr6D	272135931	313012951	144	0.9984375000000001
Chr6D	283156017	415028218	Chr6D	315240697	446445761	1033	0.9994530493707647
Chr6D	417690848	473516145	Chr6D	449108223	506518486	953	0.9967785939139558
