gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS5A03G0001300	Chr5A	1542470	1544254	+	1543362	Chr5A	1595235	1597019	+	1596127	1.0	1.0
gene:TraesCS5A03G0001500	Chr5A	1684670	1685023	+	1684846	Chr5A	1737454	1737807	+	1737630	1.0	1.0
gene:TraesCS5A03G0001700	Chr5A	1703882	1707094	-	1705488	Chr5A	1756669	1759881	-	1758275	1.0	1.0
gene:TraesCS5A03G0001900	Chr5A	1955095	1955460	-	1955277	Chr5A	2006936	2007301	-	2007118	1.0	1.0
gene:TraesCS5A03G0002000	Chr5A	2041391	2042111	-	2041751	Chr5A	2092606	2093326	-	2092966	1.0	1.0
gene:TraesCS5A03G0002100	Chr5A	2042895	2043377	+	2043136	Chr5A	2094110	2094592	+	2094351	1.0	1.0
gene:TraesCS5A03G0002500	Chr5A	2059447	2067895	+	2063671	Chr5A	2110404	2118852	+	2114628	1.0	1.0
gene:TraesCS5A03G0002700	Chr5A	2068880	2071814	+	2070347	Chr5A	2119837	2122771	+	2121304	1.0	1.0
gene:TraesCS5A03G0002900	Chr5A	2082542	2082888	+	2082715	Chr5A	2133499	2133845	+	2133672	1.0	1.0
gene:TraesCS5A03G0003200	Chr5A	2225824	2226003	+	2225913	Chr5A	2276387	2276566	+	2276476	1.0	1.0
gene:TraesCS5A03G0003300	Chr5A	2269703	2270692	-	2270197	Chr5A	2320151	2321140	-	2320645	1.0	1.0
gene:TraesCS5A03G0003900	Chr5A	2671848	2673352	-	2672600	Chr5A	2717037	2718541	-	2717789	1.0	1.0
gene:TraesCS5A03G0004000	Chr5A	2741825	2743021	-	2742423	Chr5A	2787015	2788211	-	2787613	1.0	1.0
gene:TraesCS5A03G0004500	Chr5A	2854750	2859673	-	2857211	Chr5A	2898897	2903824	-	2901360	1.0	1.0
gene:TraesCS5A03G0004900	Chr5A	2989002	2993252	-	2991127	Chr5A	3033153	3037403	-	3035278	1.0	1.0
gene:TraesCS5A03G0005200	Chr5A	3010374	3014596	+	3012485	Chr5A	3054510	3058732	+	3056621	1.0	1.0
gene:TraesCS5A03G0005300	Chr5A	3015603	3020596	+	3018099	Chr5A	3059739	3064732	+	3062235	1.0	1.0
gene:TraesCS5A03G0005400	Chr5A	3027435	3033237	-	3030336	Chr5A	3071571	3077373	-	3074472	1.0	1.0
gene:TraesCS5A03G0005500	Chr5A	3081377	3084416	-	3082896	Chr5A	3125293	3128332	-	3126812	1.0	1.0
gene:TraesCS5A03G0006300	Chr5A	3306994	3308561	-	3307777	Chr5A	3349477	3351044	-	3350260	1.0	1.0
gene:TraesCS5A03G0006400	Chr5A	3312509	3313435	+	3312972	Chr5A	3354992	3355918	+	3355455	1.0	1.0
gene:TraesCS5A03G0006500	Chr5A	3315802	3317881	-	3316841	Chr5A	3358285	3360364	-	3359324	1.0	1.0
gene:TraesCS5A03G0006600	Chr5A	3318157	3321929	-	3320043	Chr5A	3360640	3364413	-	3362526	1.0	0.999
gene:TraesCS5A03G0006700	Chr5A	3323908	3324402	+	3324155	Chr5A	3366391	3366885	+	3366638	1.0	1.0
gene:TraesCS5A03G0006800	Chr5A	3330540	3332847	+	3331693	Chr5A	3373023	3375330	+	3374176	1.0	1.0
gene:TraesCS5A03G0007000	Chr5A	3335666	3337315	-	3336490	Chr5A	3378149	3379798	-	3378973	1.0	1.0
gene:TraesCS5A03G0007100	Chr5A	3337878	3339413	-	3338645	Chr5A	3380361	3381896	-	3381128	1.0	1.0
gene:TraesCS5A03G0007500	Chr5A	3522415	3524184	-	3523299	Chr5A	3564656	3566425	-	3565540	1.0	1.0
gene:TraesCS5A03G0007700	Chr5A	3551523	3556494	-	3554008	Chr5A	3593769	3598740	-	3596254	1.0	1.0
gene:TraesCS5A03G0007900	Chr5A	3632961	3634579	+	3633770	Chr5A	3675209	3676827	+	3676018	1.0	1.0
gene:TraesCS5A03G0008000	Chr5A	3769384	3773677	+	3771530	Chr5A	3811638	3815931	+	3813784	1.0	1.0
gene:TraesCS5A03G0008100	Chr5A	3774296	3777820	-	3776058	Chr5A	3816550	3820090	-	3818320	1.0	1.0
gene:TraesCS5A03G0008300	Chr5A	3796488	3802877	-	3799682	Chr5A	3838760	3845149	-	3841954	1.0	1.0
gene:TraesCS5A03G0008600	Chr5A	3869700	3875455	-	3872577	Chr5A	3911135	3916890	-	3914012	1.0	1.0
gene:TraesCS5A03G0008900	Chr5A	3992185	3995626	+	3993905	Chr5A	4033671	4037112	+	4035391	1.0	0.999
gene:TraesCS5A03G0009200	Chr5A	4072714	4080157	+	4076435	Chr5A	4114204	4121647	+	4117925	1.0	1.0
gene:TraesCS5A03G0009300	Chr5A	4081207	4083626	+	4082416	Chr5A	4122697	4125116	+	4123906	1.0	1.0
gene:TraesCS5A03G0009400	Chr5A	4100653	4103564	-	4102108	Chr5A	4142145	4145056	-	4143600	1.0	1.0
gene:TraesCS5A03G0009500	Chr5A	4120412	4124180	-	4122296	Chr5A	4161905	4165673	-	4163789	1.0	1.0
gene:TraesCS5A03G0009700	Chr5A	4186460	4199135	+	4192797	Chr5A	4227495	4240170	+	4233832	1.0	1.0
gene:TraesCS5A03G0009900	Chr5A	4216771	4219824	+	4218297	Chr5A	4257806	4260859	+	4259332	1.0	1.0
gene:TraesCS5A03G0010100	Chr5A	4264649	4265629	-	4265139	Chr5A	4305719	4306699	-	4306209	1.0	1.0
gene:TraesCS5A03G0010300	Chr5A	4274826	4278699	-	4276762	Chr5A	4315896	4319769	-	4317832	1.0	1.0
gene:TraesCS5A03G0010400	Chr5A	4289135	4289901	+	4289518	Chr5A	4330205	4330971	+	4330588	1.0	1.0
gene:TraesCS5A03G0010500	Chr5A	4295044	4309997	+	4302520	Chr5A	4336114	4351082	+	4343598	1.0	1.0
gene:TraesCS5A03G0010600	Chr5A	4314200	4318047	-	4316123	Chr5A	4355281	4359128	-	4357204	1.0	1.0
gene:TraesCS5A03G0010800	Chr5A	4324864	4327830	-	4326347	Chr5A	4365943	4368909	-	4367426	1.0	1.0
gene:TraesCS5A03G0010900	Chr5A	4334824	4335825	-	4335324	Chr5A	4375903	4376904	-	4376403	1.0	1.0
gene:TraesCS5A03G0011000	Chr5A	4338873	4349382	+	4344127	Chr5A	4379950	4390459	+	4385204	1.0	1.0
gene:TraesCS5A03G0011200	Chr5A	4407568	4419230	+	4413399	Chr5A	4448647	4460309	+	4454478	1.0	1.0
gene:TraesCS5A03G0011300	Chr5A	4421557	4424972	+	4423264	Chr5A	4462636	4466051	+	4464343	1.0	1.0
gene:TraesCS5A03G0011400	Chr5A	4427274	4431603	+	4429438	Chr5A	4468154	4472483	+	4470318	1.0	1.0
gene:TraesCS5A03G0011500	Chr5A	4458508	4461918	+	4460213	Chr5A	4499388	4502798	+	4501093	1.0	1.0
