gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	ArinaLrFor_tgt_chr	ArinaLrFor_tgt_start	ArinaLrFor_tgt_end	ArinaLrFor_tgt_strand	ArinaLrFor_tgt_midpoint	ArinaLrFor_coverage	ArinaLrFor_identity	segment
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	79196	80331	+	79763	1.0	1.0	collinear
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	87583	89421	+	88502	1.0	1.0	collinear
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	89789	93709	-	91749	1.0	0.999	collinear
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	94153	97785	-	95969	1.0	1.0	collinear
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	100849	107886	+	104367	1.0	1.0	collinear
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	114554	116343	+	115448	1.0	1.0	collinear
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	121997	126275	+	124136	1.0	0.94	collinear
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	126689	129711	-	128200	1.0	1.0	collinear
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	132800	135759	-	134279	1.0	1.0	collinear
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	138346	141008	-	139677	1.0	1.0	collinear
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	152594	158570	-	155582	1.0	1.0	collinear
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	177349	180626	+	178987	1.0	1.0	collinear
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	231349	243206	-	237277	1.0	1.0	collinear
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	446643	459097	-	452870	1.0	1.0	collinear
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	469252	471309	-	470280	1.0	1.0	collinear
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	478400	482369	-	480384	1.0	1.0	collinear
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	490581	497373	+	493977	1.0	0.988	collinear
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	501862	506351	-	504106	0.999	0.974	collinear
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	556175	557293	-	556734	1.0	0.997	collinear
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	738592	740835	-	739713	0.993	0.978	collinear
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	812718	813878	+	813298	1.0	0.993	collinear
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1028351	1031945	-	1030148	0.996	0.986	collinear
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1919166	1926714	+	1922940	1.0	0.999	collinear
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1929227	1935185	-	1932206	1.0	1.0	collinear
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1948574	1955041	+	1951807	1.0	1.0	collinear
gene:TraesCS1D03G0008600	Chr1D	2718545	2721537	+	2720041	Chr1D	1987951	1990943	+	1989447	1.0	1.0	collinear
gene:TraesCS1D03G0008800	Chr1D	2722891	2723820	-	2723355	Chr1D	1992297	1993217	-	1992757	0.985	0.985	collinear
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	2037499	2040600	-	2039049	1.0	1.0	collinear
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	2046142	2047805	+	2046973	1.0	1.0	collinear
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	2050695	2052248	-	2051471	0.953	0.953	collinear
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	2058350	2061871	-	2060110	1.0	0.99	collinear
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2151443	2152911	-	2152177	1.0	0.997	collinear
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2205917	2206900	+	2206408	1.0	0.987	collinear
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	2223583	2224566	+	2224074	1.0	0.994	collinear
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2290115	2291011	+	2290563	1.0	0.988	collinear
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	2299263	2300159	+	2299711	1.0	0.994	collinear
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	2313558	2314112	+	2313835	1.0	0.998	collinear
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	2327661	2330898	+	2329279	1.0	0.992	collinear
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	2330117	2330438	-	2330277	1.0	0.995	collinear
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	2336913	2337518	+	2337215	1.0	0.998	collinear
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	2491482	2492094	+	2491788	0.996	0.944	collinear
gene:TraesCS1D03G0012300	Chr1D	3168296	3169363	-	3168829	Chr1D	2501860	2502927	-	2502393	1.0	0.992	collinear
gene:TraesCS1D03G0012400	Chr1D	3168296	3169363	-	3168829	Chr1D	2501860	2502927	-	2502393	1.0	0.993	collinear
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	2583326	2588456	+	2585891	1.0	0.993	collinear
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	2627008	2628289	+	2627648	1.0	0.977	collinear
