gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	Aikang58_tgt_strand	Aikang58_tgt_midpoint	Aikang58_coverage	Aikang58_identity
gene:TraesCS1D03G0000100	Chr1D	20638	21773	+	21205	Chr1D	64981	66116	+	65548	1.0	1.0
gene:TraesCS1D03G0000300	Chr1D	29025	30863	+	29944	Chr1D	73368	75206	+	74287	1.0	1.0
gene:TraesCS1D03G0000400	Chr1D	31231	35151	-	33191	Chr1D	75574	79494	-	77534	1.0	1.0
gene:TraesCS1D03G0000500	Chr1D	35595	39094	-	37344	Chr1D	79938	83437	-	81687	1.0	1.0
gene:TraesCS1D03G0000600	Chr1D	42073	49239	+	45656	Chr1D	86416	93323	+	89869	1.0	1.0
gene:TraesCS1D03G0000800	Chr1D	55880	57669	+	56774	Chr1D	99963	101752	+	100857	1.0	1.0
gene:TraesCS1D03G0001000	Chr1D	62405	66535	+	64470	Chr1D	106504	110634	+	108569	1.0	1.0
gene:TraesCS1D03G0001100	Chr1D	66949	69971	-	68460	Chr1D	111048	114070	-	112559	1.0	1.0
gene:TraesCS1D03G0001300	Chr1D	73080	76040	-	74560	Chr1D	117179	120138	-	118658	1.0	1.0
gene:TraesCS1D03G0001400	Chr1D	78627	81289	-	79958	Chr1D	122725	125387	-	124056	1.0	0.999
gene:TraesCS1D03G0001500	Chr1D	92853	98829	-	95841	Chr1D	136931	142907	-	139919	1.0	1.0
gene:TraesCS1D03G0001600	Chr1D	117511	120788	+	119149	Chr1D	161652	164929	+	163290	1.0	1.0
gene:TraesCS1D03G0001800	Chr1D	171475	183229	-	177352	Chr1D	221799	233573	-	227686	1.0	1.0
gene:TraesCS1D03G0002300	Chr1D	387049	399494	-	393271	Chr1D	437998	450448	-	444223	1.0	1.0
gene:TraesCS1D03G0002400	Chr1D	409650	411707	-	410678	Chr1D	460604	462661	-	461632	1.0	1.0
gene:TraesCS1D03G0002600	Chr1D	418798	422767	-	420782	Chr1D	469752	473721	-	471736	1.0	1.0
gene:TraesCS1D03G0002800	Chr1D	432621	439371	+	435996	Chr1D	483575	490320	+	486947	1.0	0.999
gene:TraesCS1D03G0002900	Chr1D	444052	448470	-	446261	Chr1D	495001	499419	-	497210	1.0	1.0
gene:TraesCS1D03G0003000	Chr1D	454345	457932	+	456138	Chr1D	505294	508888	+	507091	1.0	1.0
gene:TraesCS1D03G0003200	Chr1D	465036	466154	-	465595	Chr1D	515992	517110	-	516551	1.0	1.0
gene:TraesCS1D03G0003300	Chr1D	588197	590502	-	589349	Chr1D	757789	760094	-	758941	1.0	0.999
gene:TraesCS1D03G0003500	Chr1D	670994	672152	+	671573	Chr1D	847761	848919	+	848340	1.0	1.0
gene:TraesCS1D03G0003600	Chr1D	683590	686755	+	685172	Chr1D	860359	863522	+	861940	1.0	1.0
gene:TraesCS1D03G0003900	Chr1D	715245	719435	+	717340	Chr1D	891996	896186	+	894091	1.0	0.999
gene:TraesCS1D03G0004300	Chr1D	770686	771560	+	771123	Chr1D	942736	943610	+	943173	1.0	1.0
gene:TraesCS1D03G0004700	Chr1D	885654	889258	-	887456	Chr1D	1052155	1055759	-	1053957	1.0	1.0
gene:TraesCS1D03G0008200	Chr1D	2648853	2656401	+	2652627	Chr1D	1799509	1807057	+	1803283	1.0	0.999
gene:TraesCS1D03G0008400	Chr1D	2658914	2664872	-	2661893	Chr1D	1809570	1815528	-	1812549	1.0	1.0
gene:TraesCS1D03G0008500	Chr1D	2679004	2685472	+	2682238	Chr1D	1828914	1835383	+	1832148	1.0	1.0
gene:TraesCS1D03G0009100	Chr1D	2796340	2799441	-	2797890	Chr1D	1916086	1919187	-	1917636	1.0	1.0
gene:TraesCS1D03G0009200	Chr1D	2803813	2805476	+	2804644	Chr1D	1923805	1925468	+	1924636	1.0	1.0
gene:TraesCS1D03G0009300	Chr1D	2808366	2809991	-	2809178	Chr1D	1928358	1929983	-	1929170	1.0	1.0
gene:TraesCS1D03G0009400	Chr1D	2818068	2821589	-	2819828	Chr1D	1938060	1941581	-	1939820	1.0	0.999
gene:TraesCS1D03G0009500	Chr1D	2850565	2852033	-	2851299	Chr1D	2049349	2050815	-	2050082	0.998	0.998
gene:TraesCS1D03G0009700	Chr1D	2872931	2876359	-	2874645	Chr1D	2071134	2074643	-	2072888	1.0	0.976
gene:TraesCS1D03G0009900	Chr1D	2927907	2928881	+	2928394	Chr1D	2125660	2126637	+	2126148	1.0	0.996
gene:TraesCS1D03G0010000	Chr1D	2945825	2946808	+	2946316	Chr1D	2143334	2144317	+	2143825	1.0	0.998
gene:TraesCS1D03G0010400	Chr1D	3008174	3009061	+	3008617	Chr1D	2210345	2211232	+	2210788	1.0	1.0
gene:TraesCS1D03G0010500	Chr1D	3017359	3018255	+	3017807	Chr1D	2219871	2220767	+	2220319	1.0	1.0
gene:TraesCS1D03G0010600	Chr1D	3035516	3036070	+	3035793	Chr1D	2234077	2234631	+	2234354	1.0	1.0
gene:TraesCS1D03G0010900	Chr1D	3049234	3052252	+	3050743	Chr1D	2247795	2250813	+	2249304	1.0	1.0
gene:TraesCS1D03G0011000	Chr1D	3051473	3051794	-	3051633	Chr1D	2250034	2250355	-	2250194	1.0	1.0
gene:TraesCS1D03G0011200	Chr1D	3058505	3059110	+	3058807	Chr1D	2256791	2257396	+	2257093	1.0	1.0
gene:TraesCS1D03G0011300	Chr1D	3060050	3060268	+	3060159	Chr1D	2258336	2258554	+	2258445	1.0	1.0
gene:TraesCS1D03G0011800	Chr1D	3134519	3134782	-	3134650	Chr1D	2335110	2335373	-	2335241	1.0	1.0
gene:TraesCS1D03G0011900	Chr1D	3146520	3146738	+	3146629	Chr1D	2347148	2347366	+	2347257	1.0	1.0
gene:TraesCS1D03G0012000	Chr1D	3156660	3157255	+	3156957	Chr1D	2357289	2357884	+	2357586	1.0	1.0
gene:TraesCS1D03G0012300	Chr1D	3168296	3169363	-	3168829	Chr1D	2368927	2369994	-	2369460	1.0	1.0
gene:TraesCS1D03G0012400	Chr1D	3168296	3169363	-	3168829	Chr1D	2368927	2369994	-	2369460	1.0	1.0
gene:TraesCS1D03G0012500	Chr1D	3190753	3196211	+	3193482	Chr1D	2391383	2396841	+	2394112	1.0	1.0
gene:TraesCS1D03G0012700	Chr1D	3317114	3318407	+	3317760	Chr1D	2511718	2513011	+	2512364	1.0	1.0
gene:TraesCS1D03G0012800	Chr1D	3350322	3352192	+	3351257	Chr1D	2544561	2546431	+	2545496	1.0	1.0
gene:TraesCS1D03G0013000	Chr1D	3377746	3382876	+	3380311	Chr1D	2573288	2578418	+	2575853	1.0	1.0
gene:TraesCS1D03G0013100	Chr1D	3429890	3431151	+	3430520	Chr1D	2622863	2624124	+	2623493	1.0	1.0
gene:TraesCS1D03G0013800	Chr1D	3627105	3631812	-	3629458	Chr1D	2827098	2831805	-	2829451	1.0	1.0
gene:TraesCS1D03G0014100	Chr1D	3654017	3654448	+	3654232	Chr1D	2853904	2854335	+	2854119	1.0	1.0
gene:TraesCS1D03G0014200	Chr1D	3667788	3668400	+	3668094	Chr1D	2867454	2868066	+	2867760	1.0	1.0
gene:TraesCS1D03G0014300	Chr1D	3673182	3675464	-	3674323	Chr1D	2872669	2874951	-	2873810	1.0	1.0
