cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr2D	12910660	185870857	Chr2D	17679977	194680001	1613	0.988551146931184
Chr2D	188557436	215062920	Chr2D	197369592	224753007	133	0.992842105263158
Chr2D	217854985	226021304	Chr2D	227956361	236091967	12	0.9921666666666664
Chr2D	228439393	238204054	Chr2D	238524836	248309389	10	0.9928
Chr2D	240232637	259978877	Chr2D	250330003	269920848	30	0.9920666666666664
Chr2D	263858571	270527810	Chr2D	270899357	277576893	12	0.9938333333333332
Chr2D	273178435	283308056	Chr2D	280184700	293622568	29	0.991551724137931
Chr2D	285583565	466204048	Chr2D	295893119	477916500	1011	0.991164193867458
Chr2D	468960180	585491019	Chr2D	480668471	599795829	985	0.9857218274111677
Chr2D	587518411	612360364	Chr2D	600411953	627342681	166	0.9442289156626504
Chr2D	622558206	652294640	Chr2D	631012235	661777666	471	0.987496815286624
