cs_chr	cs_start	cs_end	Spelt_tgt_chr	Spelt_tgt_start	Spelt_tgt_end	n_anchors	mean_identity
Chr7B	34602	36923564	Chr7B	61177	35026380	315	0.9942539682539684
Chr7B	42917585	183070778	Chr7B	35213051	175653943	962	0.9939199584199584
Chr7B	185568431	267827770	Chr7B	178122545	259028015	364	0.9961428571428572
Chr7B	275290836	293144785	Chr7B	260146922	282243301	27	0.992148148148148
Chr7B	295582888	309665253	Chr7B	278685949	298903791	23	0.9954347826086956
Chr7B	313703932	321770729	Chr7B	305441356	313863235	15	0.9959333333333332
Chr7B	338644945	342648507	Chr7B	329245695	333277078	8	0.99975
Chr7B	362128535	366676555	Chr7B	349951773	354521619	8	0.997875
Chr7B	368970531	393308791	Chr7B	355092760	379362412	121	0.9973223140495868
Chr7B	396179589	410599513	Chr7B	380939196	395527182	52	0.9970576923076924
Chr7B	413179671	423778078	Chr7B	398102296	408614892	45	0.9988444444444444
Chr7B	425791676	545780843	Chr7B	410601728	532808630	754	0.9957917771883288
Chr7B	547795684	746921310	Chr7B	534808315	722477260	1387	0.9900922855082912
Chr7B	751898715	756039819	Chr7B	727486681	731894049	55	0.993981818181818
