gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	MOV_tgt_chr	MOV_tgt_start	MOV_tgt_end	MOV_tgt_strand	MOV_tgt_midpoint	MOV_coverage	MOV_identity	segment
gene:TraesCS4A03G0336100	Chr4A	248995527	249024003	-	249009765	Chr4A	271693042	271720846	-	271706944	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0337400	Chr4A	251046728	251058910	+	251052819	Chr4A	276348741	276360923	+	276354832	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0338500	Chr4A	252400088	252405473	+	252402780	Chr4A	277650319	277655704	+	277653011	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0339900	Chr4A	255882448	255901224	+	255891836	Chr4A	281170872	281189650	+	281180261	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0340200	Chr4A	256878550	256917370	+	256897960	Chr4A	282155309	282194131	+	282174720	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0340800	Chr4A	257273600	257273914	-	257273757	Chr4A	282550422	282550736	-	282550579	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0341700	Chr4A	257640564	257641957	+	257641260	Chr4A	282917434	282918827	+	282918130	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0342900	Chr4A	259044581	259052439	+	259048510	Chr4A	284314710	284322568	+	284318639	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0343800	Chr4A	260002763	260005208	+	260003985	Chr4A	285277374	285279819	+	285278596	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0345500	Chr4A	261569401	261572504	+	261570952	Chr4A	286839294	286842397	+	286840845	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0345600	Chr4A	261573123	261574114	-	261573618	Chr4A	286843016	286844007	-	286843511	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0346400	Chr4A	263003903	263004094	-	263003998	Chr4A	288260280	288260471	-	288260375	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0346900	Chr4A	263024821	263025312	+	263025066	Chr4A	288281200	288281691	+	288281445	1.0	0.996	rearrangement:Chr4A_block1
gene:TraesCS4A03G0347700	Chr4A	263500942	263503285	+	263502113	Chr4A	288753675	288756018	+	288754846	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0347900	Chr4A	263684774	263685456	-	263685115	Chr4A	288934781	288935463	-	288935122	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0348000	Chr4A	263773065	263788816	+	263780940	Chr4A	289023112	289038717	+	289030914	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0348100	Chr4A	264169952	264175159	+	264172555	Chr4A	289417156	289422364	+	289419760	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0348800	Chr4A	266690761	266693316	+	266692038	Chr4A	291891042	291893597	+	291892319	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0350000	Chr4A	267009244	267012782	+	267011013	Chr4A	292216126	292219664	+	292217895	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0350600	Chr4A	268800333	268812910	+	268806621	Chr4A	294025650	294038038	+	294031844	0.999	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0351600	Chr4A	270715513	270723520	+	270719516	Chr4A	295936583	295944590	+	295940586	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0352100	Chr4A	272394181	272399422	-	272396801	Chr4A	297610936	297616177	-	297613556	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0352400	Chr4A	274098755	274122629	-	274110692	Chr4A	299314172	299338047	-	299326109	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0352800	Chr4A	274924066	274929893	+	274926979	Chr4A	300137895	300143722	+	300140808	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0354200	Chr4A	276291065	276295858	+	276293461	Chr4A	301499379	301504172	+	301501775	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0354700	Chr4A	277132364	277132990	+	277132677	Chr4A	302331289	302331915	+	302331602	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0354800	Chr4A	277166308	277167598	-	277166953	Chr4A	302365235	302366526	-	302365880	1.0	0.997	rearrangement:Chr4A_block1
gene:TraesCS4A03G0356700	Chr4A	277271689	277271943	+	277271816	Chr4A	302470636	302470890	+	302470763	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0357200	Chr4A	278314612	278324505	-	278319558	Chr4A	303518474	303528369	-	303523421	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0357800	Chr4A	278891036	278895120	-	278893078	Chr4A	304094089	304098173	-	304096131	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0358200	Chr4A	280305140	280325223	+	280315181	Chr4A	305519067	305539150	+	305529108	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0358500	Chr4A	281265332	281275951	-	281270641	Chr4A	306475389	306486008	-	306480698	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0359800	Chr4A	283043913	283068268	+	283056090	Chr4A	308263341	308287696	+	308275518	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0360100	Chr4A	283492206	283495623	-	283493914	Chr4A	226771173	226774590	-	226772881	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0360700	Chr4A	284391010	284401078	-	284396044	Chr4A	227668341	227678408	-	227673374	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0360800	Chr4A	284402503	284412374	+	284407438	Chr4A	227678984	227688806	+	227683895	0.975	0.975	rearrangement:Chr4A_block1
gene:TraesCS4A03G0360900	Chr4A	285115118	285121338	-	285118228	Chr4A	228402616	228408836	-	228405726	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0362300	Chr4A	286257139	286261681	-	286259410	Chr4A	229556561	229561103	-	229558832	1.0	0.995	rearrangement:Chr4A_block1
gene:TraesCS4A03G0362900	Chr4A	286977282	286978019	+	286977650	Chr4A	230276505	230277242	+	230276873	1.0	0.998	rearrangement:Chr4A_block1
gene:TraesCS4A03G0363000	Chr4A	286980615	286981381	-	286980998	Chr4A	230279838	230280604	-	230280221	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0363100	Chr4A	287042749	287046472	-	287044610	Chr4A	230340006	230343729	-	230341867	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0363700	Chr4A	287896622	287899515	+	287898068	Chr4A	231190754	231193647	+	231192200	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0364100	Chr4A	288376940	288381704	-	288379322	Chr4A	231669479	231674243	-	231671861	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0364500	Chr4A	289312282	289315851	+	289314066	Chr4A	232602727	232606296	+	232604511	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0365100	Chr4A	290428996	290435910	+	290432453	Chr4A	233716400	233723314	+	233719857	1.0	0.999	rearrangement:Chr4A_block1
gene:TraesCS4A03G0366500	Chr4A	290912564	290912851	-	290912707	Chr4A	234197069	234197356	-	234197212	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0366600	Chr4A	290914462	290923191	-	290918826	Chr4A	234198967	234207692	-	234203329	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0366700	Chr4A	291399215	291399445	-	291399330	Chr4A	234683686	234683916	-	234683801	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0367000	Chr4A	291400422	291401218	-	291400820	Chr4A	234684893	234685689	-	234685291	1.0	1.0	rearrangement:Chr4A_block1
gene:TraesCS4A03G0367100	Chr4A	291401515	291401952	+	291401733	Chr4A	234685986	234686423	+	234686204	1.0	1.0	rearrangement:Chr4A_block1
