gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Paragon_v3_tgt_chr	Paragon_v3_tgt_start	Paragon_v3_tgt_end	Paragon_v3_tgt_strand	Paragon_v3_tgt_midpoint	Paragon_v3_coverage	Paragon_v3_identity
gene:TraesCS5D03G0000300	Chr5D	295745	301549	-	298647	Chr5D	560525	566325	-	563425	0.997	0.993
gene:TraesCS5D03G0000400	Chr5D	306801	310996	+	308898	Chr5D	571577	575772	+	573674	1.0	0.999
gene:TraesCS5D03G0000500	Chr5D	475881	477308	+	476594	Chr5D	739569	740996	+	740282	1.0	1.0
gene:TraesCS5D03G0000600	Chr5D	504194	504526	-	504360	Chr5D	767844	768176	-	768010	1.0	0.996
gene:TraesCS5D03G0000700	Chr5D	504194	504552	-	504373	Chr5D	767844	768202	-	768023	1.0	0.997
gene:TraesCS5D03G0000900	Chr5D	716462	716794	-	716628	Chr5D	981012	981344	-	981178	1.0	0.996
gene:TraesCS5D03G0001100	Chr5D	763156	767483	-	765319	Chr5D	1027712	1032068	-	1029890	1.0	1.0
gene:TraesCS5D03G0001300	Chr5D	929486	932500	+	930993	Chr5D	1194194	1197208	+	1195701	1.0	1.0
gene:TraesCS5D03G0001500	Chr5D	932731	938642	-	935686	Chr5D	1197439	1203354	-	1200396	1.0	1.0
gene:TraesCS5D03G0001700	Chr5D	1529495	1530538	+	1530016	Chr5D	1791730	1792773	+	1792251	1.0	1.0
gene:TraesCS5D03G0001900	Chr5D	1537103	1539147	-	1538125	Chr5D	1799338	1801382	-	1800360	1.0	0.992
gene:TraesCS5D03G0002100	Chr5D	1605131	1610309	+	1607720	Chr5D	1867330	1872508	+	1869919	1.0	1.0
gene:TraesCS5D03G0002300	Chr5D	1705168	1712206	-	1708687	Chr5D	1967124	1974162	-	1970643	1.0	1.0
gene:TraesCS5D03G0002500	Chr5D	1803394	1806327	+	1804860	Chr5D	2065362	2068295	+	2066828	1.0	0.999
gene:TraesCS5D03G0002700	Chr5D	1866423	1868501	+	1867462	Chr5D	2128552	2130261	+	2129406	1.0	1.0
gene:TraesCS5D03G0002900	Chr5D	1887729	1890428	-	1889078	Chr5D	2148818	2151517	-	2150167	1.0	0.997
gene:TraesCS5D03G0003000	Chr5D	2120086	2120451	-	2120268	Chr5D	2381092	2381457	-	2381274	1.0	1.0
gene:TraesCS5D03G0003100	Chr5D	2121153	2121944	+	2121548	Chr5D	2382159	2382950	+	2382554	1.0	1.0
gene:TraesCS5D03G0003200	Chr5D	2135387	2142134	+	2138760	Chr5D	2396406	2403153	+	2399779	1.0	1.0
gene:TraesCS5D03G0003400	Chr5D	2251213	2252857	-	2252035	Chr5D	2512284	2513928	-	2513106	1.0	1.0
gene:TraesCS5D03G0003500	Chr5D	2286363	2288714	+	2287538	Chr5D	2547454	2549807	+	2548630	1.0	1.0
gene:TraesCS5D03G0003600	Chr5D	2291637	2302490	+	2297063	Chr5D	2552730	2563590	+	2558160	1.0	0.995
gene:TraesCS5D03G0003700	Chr5D	2517220	2518242	-	2517731	Chr5D	2776465	2777487	-	2776976	1.0	0.999
gene:TraesCS5D03G0004200	Chr5D	2615885	2618789	+	2617337	Chr5D	2943978	2946882	+	2945430	1.0	0.999
gene:TraesCS5D03G0004700	Chr5D	2665098	2671307	+	2668202	Chr5D	2993287	2999496	+	2996391	1.0	1.0
gene:TraesCS5D03G0004800	Chr5D	2672766	2677982	-	2675374	Chr5D	3000955	3006155	-	3003555	0.991	0.987
gene:TraesCS5D03G0004900	Chr5D	2679349	2683430	-	2681389	Chr5D	3007522	3011603	-	3009562	1.0	1.0
gene:TraesCS5D03G0005100	Chr5D	2688714	2693084	+	2690899	Chr5D	3016887	3021257	+	3019072	1.0	1.0
gene:TraesCS5D03G0005200	Chr5D	2696120	2701036	+	2698578	Chr5D	3024293	3029209	+	3026751	1.0	1.0
gene:TraesCS5D03G0005300	Chr5D	2814456	2815962	+	2815209	Chr5D	3142676	3144182	+	3143429	1.0	1.0
gene:TraesCS5D03G0005400	Chr5D	3027689	3029129	+	3028409	Chr5D	3349075	3350515	+	3349795	1.0	1.0
gene:TraesCS5D03G0005700	Chr5D	3085495	3086987	+	3086241	Chr5D	3406828	3408320	+	3407574	1.0	0.998
gene:TraesCS5D03G0006000	Chr5D	3150676	3151507	+	3151091	Chr5D	3472167	3472996	+	3472581	0.997	0.995
gene:TraesCS5D03G0007100	Chr5D	3285989	3291185	-	3288587	Chr5D	3607499	3612702	-	3610100	1.0	1.0
gene:TraesCS5D03G0007600	Chr5D	3553643	3558815	+	3556229	Chr5D	3876531	3881703	+	3879117	1.0	1.0
gene:TraesCS5D03G0007700	Chr5D	3560879	3562605	-	3561742	Chr5D	3883767	3885493	-	3884630	1.0	1.0
gene:TraesCS5D03G0007800	Chr5D	3566317	3566982	+	3566649	Chr5D	3889205	3889870	+	3889537	1.0	1.0
gene:TraesCS5D03G0007900	Chr5D	3568816	3570710	-	3569763	Chr5D	3891704	3893598	-	3892651	1.0	1.0
gene:TraesCS5D03G0008000	Chr5D	3579222	3582239	-	3580730	Chr5D	3902109	3905126	-	3903617	1.0	1.0
gene:TraesCS5D03G0008100	Chr5D	3584251	3584745	+	3584498	Chr5D	3907138	3907632	+	3907385	1.0	1.0
gene:TraesCS5D03G0008300	Chr5D	3604593	3605039	+	3604816	Chr5D	3927484	3927930	+	3927707	1.0	1.0
gene:TraesCS5D03G0008400	Chr5D	3608804	3611113	-	3609958	Chr5D	3931695	3934004	-	3932849	1.0	1.0
gene:TraesCS5D03G0008600	Chr5D	3622739	3623188	+	3622963	Chr5D	3945630	3946079	+	3945854	1.0	0.997
gene:TraesCS5D03G0008900	Chr5D	3646131	3647699	+	3646915	Chr5D	3968993	3970561	+	3969777	1.0	0.997
gene:TraesCS5D03G0009200	Chr5D	3649092	3650582	+	3649837	Chr5D	3971954	3973444	+	3972699	1.0	1.0
gene:TraesCS5D03G0009100	Chr5D	3649059	3653270	-	3651164	Chr5D	3971921	3976132	-	3974026	1.0	1.0
gene:TraesCS5D03G0009400	Chr5D	3672490	3674058	-	3673274	Chr5D	3995350	3996918	-	3996134	1.0	1.0
gene:TraesCS5D03G0009800	Chr5D	3763968	3767732	-	3765850	Chr5D	4086699	4090463	-	4088581	1.0	1.0
gene:TraesCS5D03G0009900	Chr5D	3777701	3780330	+	3779015	Chr5D	4100427	4103056	+	4101741	1.0	1.0
gene:TraesCS5D03G0010200	Chr5D	4128339	4134929	+	4131634	Chr5D	4442175	4448765	+	4445470	1.0	1.0
gene:TraesCS5D03G0010300	Chr5D	4138928	4139406	+	4139167	Chr5D	4452764	4453242	+	4453003	1.0	1.0
gene:TraesCS5D03G0010400	Chr5D	4139960	4143802	+	4141881	Chr5D	4453796	4457638	+	4455717	1.0	1.0
gene:TraesCS5D03G0010500	Chr5D	4143972	4149511	-	4146741	Chr5D	4457808	4463347	-	4460577	1.0	1.0
gene:TraesCS5D03G0010700	Chr5D	4214914	4215624	+	4215269	Chr5D	4528764	4529474	+	4529119	1.0	1.0
gene:TraesCS5D03G0010800	Chr5D	4236946	4237494	+	4237220	Chr5D	4550806	4551354	+	4551080	1.0	1.0
gene:TraesCS5D03G0010900	Chr5D	4321657	4325110	+	4323383	Chr5D	4635503	4638956	+	4637229	1.0	1.0
gene:TraesCS5D03G0011400	Chr5D	4601728	4604250	+	4602989	Chr5D	4919933	4922455	+	4921194	1.0	1.0
