cs_chr	cs_start	cs_end	Aikang58_tgt_chr	Aikang58_tgt_start	Aikang58_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	34168	143233659	1403	0.9990477548111192
Chr4D	143939177	159173700	Chr4D	145934600	161113184	17	0.999470588235294
Chr4D	163710731	183649096	Chr4D	165647456	185758696	26	0.9997307692307692
Chr4D	188969484	192971731	Chr4D	192326296	196449945	6	0.9996666666666666
Chr4D	195239705	198785582	Chr4D	198728644	202284489	7	0.9997142857142858
Chr4D	201663396	212424003	Chr4D	205485714	216720494	27	0.9996296296296298
Chr4D	214566503	228344802	Chr4D	218941533	232865006	23	0.9986956521739132
Chr4D	230503918	238850566	Chr4D	235077224	243509067	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	245808674	253717615	14	0.9995
Chr4D	251744642	256746015	Chr4D	256318791	261364262	7	0.999
Chr4D	259082246	261473317	Chr4D	263680718	266098378	6	0.9998333333333336
Chr4D	264155329	268258812	Chr4D	268822963	272955775	7	0.9982857142857142
Chr4D	270831155	284417863	Chr4D	275533522	289238746	19	0.9976315789473684
Chr4D	286726699	329466878	Chr4D	291532905	334742895	223	0.9990627802690584
Chr4D	331779306	375686787	Chr4D	337089243	381358032	302	0.9996258278145695
Chr4D	377775997	410310201	Chr4D	383497327	416148175	235	0.9992468085106382
Chr4D	412602740	513907063	Chr4D	418485081	521877456	1175	0.9992782978723403
