cs_chr	cs_start	cs_end	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	n_anchors	mean_identity
Chr3D	1650225	2295039	Chr3D	9211622	9668624	8	0.948
Chr3D	253799117	255814703	Chr3D	246132699	248167022	12	0.9989166666666667
Chr3D	2786589	116955327	Chr3D	530686	116621916	1321	0.9968099924299774
Chr3D	119094314	145655212	Chr3D	118750613	145188689	158	0.9981075949367089
Chr3D	147725835	194192900	Chr3D	147116997	193661582	253	0.9989683794466403
Chr3D	197544325	200969144	Chr3D	197024539	200460370	5	1.0
Chr3D	203187169	203224239	Chr3D	202600129	202636439	4	0.999
Chr3D	207531742	214535149	Chr3D	206949080	213952969	11	0.9991818181818182
Chr3D	216957444	220088873	Chr3D	216371184	219405046	6	1.0
Chr3D	229959397	232933791	Chr3D	230122845	233112717	7	0.9992857142857143
Chr3D	238260224	240013852	Chr3D	237613240	239414013	5	0.999
Chr3D	242050030	245733889	Chr3D	241527834	245492214	4	0.99975
Chr3D	249381009	252776863	Chr3D	249190243	252613109	7	1.0
Chr3D	255891360	258632836	Chr3D	255637829	258388778	7	0.9997142857142858
Chr3D	264456705	492833467	Chr3D	263849673	492769800	1635	0.9983577981651375
Chr3D	495347019	571894878	Chr3D	495331413	570979798	867	0.998035755478662
Chr3D	574320863	619150840	Chr3D	571124754	613839242	686	0.9964781341107872
