gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Jagger_tgt_chr	Jagger_tgt_start	Jagger_tgt_end	Jagger_tgt_strand	Jagger_tgt_midpoint	Jagger_coverage	Jagger_identity	segment
gene:TraesCS2A03G0361400	Chr2A	135893578	135894884	-	135894231	Chr2A	148134678	148135984	+	148135331	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0361500	Chr2A	136252710	136253934	+	136253322	Chr2A	147772062	147773286	-	147772674	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0361600	Chr2A	136270041	136278756	-	136274398	Chr2A	147747941	147756203	+	147752072	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0361800	Chr2A	136282758	136282985	-	136282871	Chr2A	147743819	147744046	+	147743932	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0362000	Chr2A	136420211	136420732	-	136420471	Chr2A	147595387	147595908	+	147595647	1.0	1.0	rearrangement:Chr2A_block2
gene:TraesCS2A03G0370500	Chr2A	141666126	141670768	+	141668447	Chr2A	142370360	142375001	-	142372680	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0370600	Chr2A	141671103	141671811	+	141671457	Chr2A	142369314	142370025	-	142369669	1.0	0.992	rearrangement:Chr2A_block1
gene:TraesCS2A03G0370700	Chr2A	141672988	141673642	+	141673315	Chr2A	142367483	142368137	-	142367810	1.0	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A03G0371000	Chr2A	141792802	141805976	+	141799389	Chr2A	142333671	142346845	-	142340258	1.0	0.99	rearrangement:Chr2A_block1
gene:TraesCS2A03G0371100	Chr2A	141851944	141852632	+	141852288	Chr2A	142287155	142287843	-	142287499	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0371200	Chr2A	141868582	141869141	+	141868861	Chr2A	142268244	142268803	-	142268523	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0371300	Chr2A	141879509	141879865	+	141879687	Chr2A	142257521	142257877	-	142257699	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0371400	Chr2A	141895643	141895942	+	141895792	Chr2A	142241322	142241621	-	142241471	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0371500	Chr2A	141898336	141899601	-	141898968	Chr2A	142237664	142238929	+	142238296	1.0	0.999	rearrangement:Chr2A_block1
gene:TraesCS2A03G0371700	Chr2A	141916836	141917893	+	141917364	Chr2A	142220747	142221786	-	142221266	0.982	0.981	rearrangement:Chr2A_block1
gene:TraesCS2A03G0372000	Chr2A	142167785	142175956	-	142171870	Chr2A	141962331	141970506	+	141966418	1.0	0.989	rearrangement:Chr2A_block1
gene:TraesCS2A03G0372100	Chr2A	142201400	142203526	-	142202463	Chr2A	141934120	141936246	+	141935183	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0372400	Chr2A	142566997	142569827	+	142568412	Chr2A	141564938	141568049	-	141566493	0.978	0.973	rearrangement:Chr2A_block1
gene:TraesCS2A03G0372500	Chr2A	142571468	142572223	+	142571845	Chr2A	141562542	141563297	-	141562919	1.0	0.997	rearrangement:Chr2A_block1
gene:TraesCS2A03G0372600	Chr2A	142577348	142578463	+	142577905	Chr2A	141556247	141557435	-	141556841	0.998	0.946	rearrangement:Chr2A_block1
gene:TraesCS2A03G0372700	Chr2A	142586258	142587422	+	142586840	Chr2A	141547289	141548455	-	141547872	1.0	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A03G0372800	Chr2A	142719172	142720248	+	142719710	Chr2A	141439706	141440782	-	141440244	1.0	0.996	rearrangement:Chr2A_block1
gene:TraesCS2A03G0373000	Chr2A	142742883	142748763	-	142745823	Chr2A	141411293	141417168	+	141414230	1.0	0.995	rearrangement:Chr2A_block1
gene:TraesCS2A03G0373100	Chr2A	142768032	142768469	-	142768250	Chr2A	141391573	141392010	+	141391791	1.0	0.99	rearrangement:Chr2A_block1
gene:TraesCS2A03G0373500	Chr2A	142797342	142799062	+	142798202	Chr2A	141369565	141371285	-	141370425	1.0	0.994	rearrangement:Chr2A_block1
gene:TraesCS2A03G0373600	Chr2A	142800608	142804794	+	142802701	Chr2A	141363866	141368019	-	141365942	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0373700	Chr2A	142817689	142821387	-	142819538	Chr2A	141356068	141359766	+	141357917	1.0	0.998	rearrangement:Chr2A_block1
gene:TraesCS2A03G0373800	Chr2A	142822400	142826365	-	142824382	Chr2A	141350798	141354965	+	141352881	1.0	1.0	rearrangement:Chr2A_block1
gene:TraesCS2A03G0001600	Chr2A	498907	502516	+	500711	Chr2A	420957	424544	+	422750	0.955	0.908	collinear
gene:TraesCS2A03G0002500	Chr2A	560892	563807	-	562349	Chr2A	601631	604546	-	603088	1.0	0.974	collinear
gene:TraesCS2A03G0003600	Chr2A	780091	780912	+	780501	Chr2A	1440191	1441022	+	1440606	0.984	0.91	collinear
gene:TraesCS2A03G0006600	Chr2A	1841287	1843264	+	1842275	Chr2A	2637902	2639877	+	2638889	0.99	0.931	collinear
