cs_chr	cs_start	cs_end	Attraktion_tgt_chr	Attraktion_tgt_start	Attraktion_tgt_end	n_anchors	mean_identity
Chr6A	57605	1337076	Chr6A	15278519	17440905	23	0.981608695652174
Chr6A	7394748	11280469	Chr6A	341521	2898400	62	0.9871451612903226
Chr6A	2132056	7202251	Chr6A	3358772	7451397	60	0.9737166666666665
Chr6A	11414391	162912229	Chr6A	8142540	163336433	1262	0.9941109350237718
Chr6A	166503285	172174207	Chr6A	166869415	172483531	30	0.9993666666666667
Chr6A	174450789	233957452	Chr6A	174742982	233778908	206	0.9987427184466019
Chr6A	241266065	242194840	Chr6A	240925114	241763068	3	0.9946666666666667
Chr6A	248542355	252837117	Chr6A	248032358	252246598	8	0.9973750000000001
Chr6A	254937051	261705155	Chr6A	254751403	262085104	21	0.9943333333333333
Chr6A	263891514	273262995	Chr6A	264283545	273821216	22	0.9966363636363635
Chr6A	276303162	290261504	Chr6A	277724747	294007641	19	0.9979473684210526
Chr6A	297672165	317154843	Chr6A	299818842	319453712	22	0.9978636363636363
Chr6A	321270304	324290097	Chr6A	323585727	326564216	8	0.9974999999999999
Chr6A	326393120	330049812	Chr6A	328695608	332318616	6	0.9968333333333333
Chr6A	332183472	344185082	Chr6A	334360668	346633947	16	0.9934375
Chr6A	346572929	346594380	Chr6A	349035796	349060069	3	0.999
Chr6A	351830716	353340072	Chr6A	354423618	355897651	4	0.99775
Chr6A	355403353	526117584	Chr6A	357912680	527728371	853	0.9984947245017587
Chr6A	528949160	617932046	Chr6A	527760803	621893702	1097	0.9933527803099362
