cs_chr	cs_start	cs_end	Renan_v2_tgt_chr	Renan_v2_tgt_start	Renan_v2_tgt_end	n_anchors	mean_identity
Chr7A	239629	71670370	Chr7A	240186	73873490	770	0.9814207792207793
Chr7A	73730871	146026136	Chr7A	75966544	147801451	636	0.9871949685534591
Chr7A	157007452	161280272	Chr7A	159694391	164755638	15	0.9901333333333333
Chr7A	171535728	281376791	Chr7A	176133148	284858387	542	0.9910756457564576
Chr7A	284112124	311914665	Chr7A	287631984	315183792	104	0.9924615384615385
Chr7A	314415263	320982044	Chr7A	317679370	324301753	10	0.9952
Chr7A	323455974	356369547	Chr7A	326765402	360793007	61	0.9926885245901639
Chr7A	359051136	360613751	Chr7A	363406581	364959029	3	0.9933333333333333
Chr7A	362739671	388772773	Chr7A	366784546	392847600	36	0.992611111111111
Chr7A	391904207	454058229	Chr7A	395966114	457787074	179	0.9863798882681565
Chr7A	456203558	727277608	Chr7A	460408858	734784581	2074	0.9865554484088719
Chr7A	730378147	731267313	Chr7A	738211450	739184537	5	0.9853999999999999
Chr7A	733365381	734538871	Chr7A	741088771	742383715	4	0.978
