gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Julius_tgt_chr	Julius_tgt_start	Julius_tgt_end	Julius_tgt_strand	Julius_tgt_midpoint	Julius_coverage	Julius_identity
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	79012	86642	+	82827	1.0	0.999
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	88183	91565	-	89874	0.98	0.98
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	102785	103330	-	103057	1.0	1.0
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	302002	306340	+	304171	1.0	1.0
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	323261	324661	+	323961	1.0	1.0
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	326851	332769	-	329810	1.0	1.0
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	377390	378522	-	377956	1.0	1.0
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	390935	394404	+	392669	1.0	1.0
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	400976	403532	+	402254	1.0	1.0
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	465390	483936	+	474663	1.0	1.0
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	511677	512597	+	512137	1.0	1.0
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	517533	519374	+	518453	1.0	1.0
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	687076	690283	+	688679	1.0	1.0
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	690980	694847	-	692913	1.0	1.0
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	696974	699131	+	698052	1.0	1.0
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	1677588	1681359	-	1679473	1.0	1.0
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	1733510	1735894	+	1734702	1.0	1.0
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	1747109	1755154	+	1751131	1.0	0.999
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	1765689	1766588	+	1766138	1.0	1.0
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	1781591	1782184	+	1781887	1.0	1.0
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	1803453	1804052	+	1803752	1.0	1.0
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	2715732	2726067	-	2720899	1.0	1.0
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	2761038	2765343	-	2763190	1.0	0.999
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	2798650	2800790	+	2799720	1.0	0.994
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	2821162	2822718	+	2821940	1.0	1.0
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	2851607	2855016	+	2853311	1.0	1.0
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	2919531	2919827	+	2919679	1.0	1.0
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	2941568	2948902	-	2945235	1.0	1.0
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	3001455	3001754	+	3001604	1.0	1.0
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	3026114	3026505	+	3026309	1.0	1.0
gene:TraesCS2D03G0006100	Chr2D	2357178	2357867	+	2357522	Chr2D	3039916	3040605	+	3040260	1.0	1.0
gene:TraesCS2D03G0006300	Chr2D	2377158	2383178	+	2380168	Chr2D	3058474	3064494	+	3061484	1.0	0.999
gene:TraesCS2D03G0006700	Chr2D	2441659	2447889	-	2444774	Chr2D	3119199	3125431	-	3122315	1.0	1.0
gene:TraesCS2D03G0006900	Chr2D	2460550	2464534	+	2462542	Chr2D	3138159	3142143	+	3140151	1.0	1.0
gene:TraesCS2D03G0007000	Chr2D	2476849	2478615	+	2477732	Chr2D	3153379	3155145	+	3154262	1.0	1.0
gene:TraesCS2D03G0007200	Chr2D	2481500	2482253	+	2481876	Chr2D	3158030	3158783	+	3158406	1.0	1.0
gene:TraesCS2D03G0007300	Chr2D	2551630	2555070	-	2553350	Chr2D	3230682	3234122	-	3232402	1.0	1.0
gene:TraesCS2D03G0007400	Chr2D	2560214	2564364	-	2562289	Chr2D	3239266	3243410	-	3241338	1.0	1.0
gene:TraesCS2D03G0007600	Chr2D	2581561	2586301	-	2583931	Chr2D	3260790	3265530	-	3263160	1.0	1.0
gene:TraesCS2D03G0007700	Chr2D	2586427	2592087	+	2589257	Chr2D	3265656	3271316	+	3268486	1.0	1.0
gene:TraesCS2D03G0007800	Chr2D	2603284	2607140	+	2605212	Chr2D	3282531	3286387	+	3284459	1.0	1.0
gene:TraesCS2D03G0007900	Chr2D	2621863	2623404	-	2622633	Chr2D	3301190	3302731	-	3301960	1.0	1.0
gene:TraesCS2D03G0008000	Chr2D	2626556	2626956	-	2626756	Chr2D	3305861	3306261	-	3306061	1.0	1.0
gene:TraesCS2D03G0008100	Chr2D	2648905	2654771	-	2651838	Chr2D	3328251	3334117	-	3331184	1.0	1.0
gene:TraesCS2D03G0008200	Chr2D	2658256	2661803	+	2660029	Chr2D	3337602	3341149	+	3339375	1.0	1.0
gene:TraesCS2D03G0008300	Chr2D	2724182	2725042	+	2724612	Chr2D	3404302	3405162	+	3404732	1.0	1.0
gene:TraesCS2D03G0008700	Chr2D	2752006	2762262	+	2757134	Chr2D	3432103	3442359	+	3437231	1.0	1.0
gene:TraesCS2D03G0008800	Chr2D	2786355	2790275	-	2788315	Chr2D	3466676	3470596	-	3468636	1.0	0.994
gene:TraesCS2D03G0008900	Chr2D	2802388	2806733	-	2804560	Chr2D	3482692	3487037	-	3484864	1.0	1.0
gene:TraesCS2D03G0009200	Chr2D	2859610	2869289	+	2864449	Chr2D	3539845	3549523	+	3544684	1.0	1.0
gene:TraesCS2D03G0009500	Chr2D	2918144	2920257	+	2919200	Chr2D	3598539	3600652	+	3599595	1.0	0.999
gene:TraesCS2D03G0009600	Chr2D	2923559	2927123	+	2925341	Chr2D	3603954	3607518	+	3605736	1.0	1.0
gene:TraesCS2D03G0009900	Chr2D	2982196	2984259	-	2983227	Chr2D	3662479	3664542	-	3663510	1.0	1.0
gene:TraesCS2D03G0010300	Chr2D	2997998	3002398	+	3000198	Chr2D	3678349	3682749	+	3680549	1.0	0.999
gene:TraesCS2D03G0010400	Chr2D	3010267	3011838	-	3011052	Chr2D	3690708	3692279	-	3691493	1.0	1.0
gene:TraesCS2D03G0010500	Chr2D	3016111	3017798	+	3016954	Chr2D	3696552	3698239	+	3697395	1.0	1.0
gene:TraesCS2D03G0010700	Chr2D	3037721	3039448	+	3038584	Chr2D	3718160	3719887	+	3719023	1.0	1.0
gene:TraesCS2D03G0010800	Chr2D	3041119	3041313	+	3041216	Chr2D	3721491	3721685	+	3721588	1.0	1.0
gene:TraesCS2D03G0011000	Chr2D	3054024	3055544	-	3054784	Chr2D	3734395	3735915	-	3735155	1.0	1.0
gene:TraesCS2D03G0011100	Chr2D	3074555	3074998	-	3074776	Chr2D	3747807	3748250	-	3748028	1.0	1.0
gene:TraesCS2D03G0011300	Chr2D	3118810	3119517	+	3119163	Chr2D	3792092	3792799	+	3792445	1.0	1.0
gene:TraesCS2D03G0011400	Chr2D	3126359	3126751	+	3126555	Chr2D	3799622	3800014	+	3799818	1.0	1.0
gene:TraesCS2D03G0011500	Chr2D	3130021	3133870	-	3131945	Chr2D	3803479	3807327	-	3805403	1.0	1.0
