gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Norin61_tgt_chr	Norin61_tgt_start	Norin61_tgt_end	Norin61_tgt_strand	Norin61_tgt_midpoint	Norin61_coverage	Norin61_identity	segment
gene:TraesCS2A02G000100	Chr2A	249837	258387	+	254112	Chr2A	2429307	2437029	-	2433168	0.904	0.904	collinear
gene:TraesCS2A02G000200	Chr2A	258830	262973	-	260901	Chr2A	2424721	2428864	+	2426792	1.0	1.0	collinear
gene:TraesCS2A02G000300	Chr2A	272124	273067	-	272595	Chr2A	2414523	2415466	+	2414994	1.0	0.998	collinear
gene:TraesCS2A02G000400	Chr2A	278821	289215	+	284018	Chr2A	2398772	2408764	-	2403768	0.996	0.996	collinear
gene:TraesCS2A02G000500	Chr2A	326106	327106	-	326606	Chr2A	2360878	2361877	+	2361377	1.0	0.996	collinear
gene:TraesCS2A02G000600	Chr2A	389168	391345	+	390256	Chr2A	2296871	2299048	-	2297959	1.0	0.998	collinear
gene:TraesCS2A02G000700	Chr2A	396124	400932	-	398528	Chr2A	2287316	2292112	+	2289714	0.995	0.995	collinear
gene:TraesCS2A02G000800	Chr2A	473496	474573	-	474034	Chr2A	2214839	2215904	+	2215371	1.0	1.0	collinear
gene:TraesCS2A02G000900	Chr2A	500410	504019	+	502214	Chr2A	2185218	2188827	-	2187022	1.0	0.999	collinear
gene:TraesCS2A02G001000	Chr2A	512885	516471	+	514678	Chr2A	2172572	2176158	-	2174365	1.0	0.999	collinear
gene:TraesCS2A02G001100	Chr2A	525386	528729	+	527057	Chr2A	2160511	2163854	-	2162182	1.0	0.999	collinear
gene:TraesCS2A02G001200	Chr2A	529346	533102	-	531224	Chr2A	2156142	2159894	+	2158018	1.0	1.0	collinear
gene:TraesCS2A02G001300	Chr2A	533300	536209	+	534754	Chr2A	2153035	2155944	-	2154489	1.0	1.0	collinear
gene:TraesCS2A02G001400	Chr2A	562911	565826	-	564368	Chr2A	2070707	2073622	+	2072164	1.0	0.995	collinear
gene:TraesCS2A02G001600	Chr2A	658359	660448	+	659403	Chr2A	1866336	1868408	-	1867372	0.985	0.978	collinear
gene:TraesCS2A02G001700	Chr2A	662867	665222	+	664044	Chr2A	1863121	1865466	-	1864293	0.994	0.987	collinear
gene:TraesCS2A02G001800	Chr2A	715377	716198	+	715787	Chr2A	1818174	1818995	-	1818584	1.0	0.995	collinear
gene:TraesCS2A02G001900	Chr2A	746916	747789	+	747352	Chr2A	1779451	1780324	-	1779887	1.0	0.994	collinear
gene:TraesCS2A02G002000	Chr2A	819919	820675	+	820297	Chr2A	1702641	1703397	-	1703019	1.0	0.986	collinear
gene:TraesCS2A02G002100	Chr2A	1163741	1165344	-	1164542	Chr2A	1442470	1444073	+	1443271	1.0	1.0	collinear
gene:TraesCS2A02G002400	Chr2A	1364422	1365450	-	1364936	Chr2A	1248129	1249157	+	1248643	1.0	1.0	collinear
gene:TraesCS2A02G002500	Chr2A	1370229	1381768	-	1375998	Chr2A	1231702	1243352	+	1237527	1.0	0.955	collinear
gene:TraesCS2A02G002600	Chr2A	1608666	1609163	+	1608914	Chr2A	1006672	1007169	-	1006920	1.0	1.0	collinear
gene:TraesCS2A02G002700	Chr2A	1685582	1687293	+	1686437	Chr2A	926711	928422	-	927566	1.0	0.999	collinear
gene:TraesCS2A02G002800	Chr2A	1776596	1778573	+	1777584	Chr2A	836765	838742	-	837753	1.0	1.0	collinear
gene:TraesCS2A02G002900	Chr2A	1783499	1785409	-	1784454	Chr2A	830050	831960	+	831005	1.0	1.0	collinear
gene:TraesCS2A02G003000	Chr2A	1857935	1863412	-	1860673	Chr2A	753474	758765	+	756119	1.0	1.0	collinear
gene:TraesCS2A02G003100	Chr2A	1871479	1877682	+	1874580	Chr2A	737755	743871	-	740813	1.0	1.0	collinear
gene:TraesCS2A02G003200	Chr2A	2226935	2231232	+	2229083	Chr2A	390572	394869	-	392720	1.0	1.0	collinear
gene:TraesCS2A02G003400	Chr2A	2273380	2274666	-	2274023	Chr2A	347994	349280	+	348637	1.0	1.0	collinear
gene:TraesCS2A02G003600	Chr2A	2321343	2325578	+	2323460	Chr2A	298909	303144	-	301026	1.0	1.0	collinear
gene:TraesCS2A02G003700	Chr2A	2331523	2337129	+	2334326	Chr2A	287358	292964	-	290161	1.0	1.0	collinear
gene:TraesCS2A02G003800	Chr2A	2352114	2353022	-	2352568	Chr2A	271465	272373	+	271919	1.0	1.0	collinear
gene:TraesCS2A02G004100	Chr2A	2366335	2367372	+	2366853	Chr2A	257022	258059	-	257540	1.0	1.0	collinear
gene:TraesCS2A02G003900	Chr2A	2355896	2382397	+	2369146	Chr2A	241997	268595	-	255296	1.0	1.0	collinear
gene:TraesCS2A02G004200	Chr2A	2373231	2377514	-	2375372	Chr2A	246880	251163	+	249021	1.0	1.0	collinear
gene:TraesCS2A02G004300	Chr2A	2377872	2379498	+	2378685	Chr2A	244896	246522	-	245709	1.0	1.0	collinear
gene:TraesCS2A02G004400	Chr2A	2402808	2403208	+	2403008	Chr2A	221077	221477	-	221277	1.0	1.0	collinear
gene:TraesCS2A02G004500	Chr2A	2405864	2407866	+	2406865	Chr2A	216419	218421	-	217420	1.0	1.0	collinear
gene:TraesCS2A02G004600	Chr2A	2463117	2466740	-	2464928	Chr2A	157464	161074	+	159269	0.992	0.992	collinear
gene:TraesCS2A02G004700	Chr2A	2476815	2481845	-	2479330	Chr2A	142736	147766	+	145251	1.0	1.0	collinear
gene:TraesCS2A02G004800	Chr2A	2481972	2487182	+	2484577	Chr2A	137399	142609	-	140004	1.0	1.0	collinear
gene:TraesCS2A02G004900	Chr2A	2488830	2495245	-	2492037	Chr2A	129336	135751	+	132543	1.0	0.998	collinear
gene:TraesCS2A02G005000	Chr2A	2637762	2653834	+	2645798	Chr2A	2748351	2764094	+	2756222	0.999	0.994	collinear
gene:TraesCS2A02G005100	Chr2A	2655708	2657588	+	2656648	Chr2A	2765997	2768072	+	2767034	1.0	0.901	collinear
gene:TraesCS2A02G005200	Chr2A	2657374	2660973	-	2659173	Chr2A	2767858	2771569	-	2769713	1.0	0.996	collinear
gene:TraesCS2A02G005300	Chr2A	2693455	2697385	+	2695420	Chr2A	2787946	2791882	+	2789914	1.0	0.991	collinear
gene:TraesCS2A02G005400	Chr2A	2700528	2700923	-	2700725	Chr2A	2795023	2795418	-	2795220	1.0	0.992	collinear
gene:TraesCS2A02G005500	Chr2A	2708175	2708888	-	2708531	Chr2A	2802769	2803482	-	2803125	1.0	1.0	collinear
gene:TraesCS2A02G005600	Chr2A	2713730	2714453	+	2714091	Chr2A	2808322	2809045	+	2808683	1.0	0.991	collinear
gene:TraesCS2A02G005700	Chr2A	2726159	2727824	+	2726991	Chr2A	2820843	2822519	+	2821681	1.0	0.983	collinear
gene:TraesCS2A02G005800	Chr2A	2739129	2740683	-	2739906	Chr2A	2836447	2837989	-	2837218	0.988	0.969	collinear
gene:TraesCS2A02G005900	Chr2A	2758823	2760115	-	2759469	Chr2A	2841987	2843270	-	2842628	0.992	0.983	collinear
gene:TraesCS2A02G006000	Chr2A	2791671	2794776	-	2793223	Chr2A	2867168	2870502	-	2868835	1.0	0.999	collinear
gene:TraesCS2A02G006100	Chr2A	2817615	2820056	-	2818835	Chr2A	2893691	2896132	-	2894911	1.0	0.999	collinear
gene:TraesCS2A02G006200	Chr2A	2839126	2854913	+	2847019	Chr2A	2914740	2930042	+	2922391	1.0	0.993	collinear
gene:TraesCS2A02G006300	Chr2A	2860739	2862513	+	2861626	Chr2A	2935840	2937614	+	2936727	1.0	0.999	collinear
gene:TraesCS2A02G006400	Chr2A	2876139	2877842	+	2876990	Chr2A	2943869	2945572	+	2944720	1.0	0.998	collinear
gene:TraesCS2A02G006500	Chr2A	2880736	2885432	+	2883084	Chr2A	2949861	2954557	+	2952209	1.0	0.997	collinear
gene:TraesCS2A02G006600	Chr2A	2892625	2893791	-	2893208	Chr2A	2961781	2962947	-	2962364	1.0	0.988	collinear
gene:TraesCS2A02G006700	Chr2A	2895357	2896658	+	2896007	Chr2A	2964513	2965814	+	2965163	1.0	1.0	collinear
gene:TraesCS2A02G006800	Chr2A	2914803	2920979	+	2917891	Chr2A	2983973	2990149	+	2987061	1.0	1.0	collinear
gene:TraesCS2A02G007000	Chr2A	2986007	2990362	+	2988184	Chr2A	3050447	3054802	+	3052624	1.0	1.0	collinear
gene:TraesCS2A02G007500	Chr2A	3333157	3336110	-	3334633	Chr2A	8022597	8025547	+	8024072	1.0	0.996	collinear
gene:TraesCS2A02G007600	Chr2A	3351281	3351679	+	3351480	Chr2A	8007298	8007696	-	8007497	1.0	0.996	collinear
gene:TraesCS2A02G007700	Chr2A	3400981	3406474	-	3403727	Chr2A	7952855	7958202	+	7955528	1.0	1.0	collinear
gene:TraesCS2A02G007800	Chr2A	3442301	3447773	+	3445037	Chr2A	7912078	7917560	-	7914819	1.0	0.996	collinear
gene:TraesCS2A02G007900	Chr2A	3448583	3450490	-	3449536	Chr2A	7909363	7911269	+	7910316	1.0	0.993	collinear
gene:TraesCS2A02G008000	Chr2A	3523032	3524646	+	3523839	Chr2A	7843443	7845058	-	7844250	1.0	0.981	collinear
gene:TraesCS2A02G008100	Chr2A	3532809	3534386	-	3533597	Chr2A	7833996	7835554	+	7834775	0.987	0.982	collinear
gene:TraesCS2A02G008200	Chr2A	3538294	3540001	+	3539147	Chr2A	7828522	7830153	-	7829337	1.0	0.992	collinear
gene:TraesCS2A02G008300	Chr2A	3594024	3595544	+	3594784	Chr2A	7788337	7789857	-	7789097	1.0	0.994	collinear
gene:TraesCS2A02G008600	Chr2A	3629933	3630902	+	3630417	Chr2A	7854797	7855005	+	7854901	0.981	0.915	collinear
gene:TraesCS2A02G009000	Chr2A	3754755	3755141	-	3754948	Chr2A	7677682	7678068	+	7677875	1.0	0.997	collinear
gene:TraesCS2A02G009100	Chr2A	3759130	3762320	+	3760725	Chr2A	7670416	7673624	-	7672020	1.0	0.988	collinear
gene:TraesCS2A02G009300	Chr2A	3794470	3797034	+	3795752	Chr2A	7632197	7634761	-	7633479	1.0	0.992	collinear
gene:TraesCS2A02G009400	Chr2A	3794413	3801111	-	3797762	Chr2A	7628092	7634818	+	7631455	1.0	0.989	collinear
gene:TraesCS2A02G009500	Chr2A	3816477	3818177	+	3817327	Chr2A	7611030	7612730	-	7611880	1.0	1.0	collinear
gene:TraesCS2A02G009600	Chr2A	3834207	3844562	-	3839384	Chr2A	7585254	7595473	+	7590363	1.0	1.0	collinear
gene:TraesCS2A02G009700	Chr2A	3848784	3857006	-	3852895	Chr2A	7575254	7581178	+	7578216	0.972	0.972	collinear
gene:TraesCS2A02G009800	Chr2A	3862849	3865016	-	3863932	Chr2A	7563429	7565596	+	7564512	1.0	1.0	collinear
gene:TraesCS2A02G009900	Chr2A	3905386	3930750	-	3918068	Chr2A	7496519	7523267	+	7509893	1.0	1.0	collinear
gene:TraesCS2A02G010000	Chr2A	3954553	3955387	+	3954970	Chr2A	7472059	7472893	-	7472476	1.0	1.0	collinear
gene:TraesCS2A02G010100	Chr2A	3959343	3962913	+	3961128	Chr2A	7464454	7468009	-	7466231	0.991	0.99	collinear
gene:TraesCS2A02G010200	Chr2A	3964835	3968074	-	3966454	Chr2A	7459510	7462749	+	7461129	1.0	1.0	collinear
gene:TraesCS2A02G010300	Chr2A	4037703	4041497	+	4039600	Chr2A	7387448	7391242	-	7389345	1.0	1.0	collinear
gene:TraesCS2A02G010400	Chr2A	4042748	4044634	+	4043691	Chr2A	7384311	7386197	-	7385254	1.0	1.0	collinear
gene:TraesCS2A02G010500	Chr2A	4046474	4047655	-	4047064	Chr2A	7381290	7382471	+	7381880	1.0	1.0	collinear
gene:TraesCS2A02G010600	Chr2A	4083824	4089576	+	4086700	Chr2A	7338919	7344671	-	7341795	1.0	1.0	collinear
gene:TraesCS2A02G010700	Chr2A	4092367	4094111	+	4093239	Chr2A	7334384	7336128	-	7335256	1.0	0.999	collinear
gene:TraesCS2A02G010800	Chr2A	4113715	4114311	+	4114013	Chr2A	7314867	7315463	-	7315165	1.0	1.0	collinear
gene:TraesCS2A02G010900	Chr2A	4137776	4142722	+	4140249	Chr2A	7286703	7291649	-	7289176	1.0	1.0	collinear
gene:TraesCS2A02G011000	Chr2A	4161106	4165285	+	4163195	Chr2A	7264713	7268694	-	7266703	0.979	0.979	collinear
gene:TraesCS2A02G011100	Chr2A	4168036	4172935	-	4170485	Chr2A	7257063	7261962	+	7259512	1.0	1.0	collinear
gene:TraesCS2A02G011200	Chr2A	4180343	4182324	+	4181333	Chr2A	7247674	7249655	-	7248664	1.0	1.0	collinear
gene:TraesCS2A02G011300	Chr2A	4210178	4214118	+	4212148	Chr2A	7220091	7224031	-	7222061	1.0	1.0	collinear
